iter	Logloss
0	0.6156683674
1	0.5577713413
2	0.509348941
3	0.4751637364
4	0.4535457405
5	0.434974187
6	0.4193742097
7	0.4101446697
8	0.3999446691
9	0.3917764282
10	0.3857610154
11	0.3811627705
12	0.3763311723
13	0.3728548491
14	0.3695681803
15	0.3673128114
16	0.3647314903
17	0.3629066252
18	0.3615667088
19	0.3603837736
20	0.3593104999
21	0.3583657366
22	0.3574745529
23	0.3566731186
24	0.3555070797
25	0.3548531928
26	0.3537515258
27	0.3522197035
28	0.351274801
29	0.3502725613
30	0.3495597575
31	0.34935053
32	0.3488480333
33	0.3485778819
34	0.3481000746
35	0.3476658129
36	0.3474828182
37	0.3468283312
38	0.3466784064
39	0.345954928
40	0.3454635072
41	0.3440562522
42	0.3430528293
43	0.342628494
44	0.3419124802
45	0.3416582209
46	0.3408985221
47	0.3402370058
48	0.3401192905
49	0.3399170196
50	0.3390151436
51	0.3388574593
52	0.3363379009
53	0.3360547199
54	0.3359286059
55	0.3358117787
56	0.3353335627
57	0.3352383688
58	0.3346743861
59	0.3344770392
60	0.334339868
61	0.334170539
62	0.3338660854
63	0.3336793983
64	0.3335641328
65	0.3331254586
66	0.3324186402
67	0.3321511499
68	0.3314308329
69	0.3313364409
70	0.3311081119
71	0.3310115053
72	0.329299823
73	0.3291358342
74	0.3290271671
75	0.3289293806
76	0.3285629133
77	0.3281108755
78	0.3279211965
79	0.3278415249
80	0.3277482251
81	0.3274405817
82	0.3272679118
83	0.3272004965
84	0.3270208292
85	0.3269517854
86	0.326469868
87	0.3260145904
88	0.3258682243
89	0.3256689534
90	0.325631561
91	0.3255688784
92	0.3252411397
93	0.3249044545
94	0.3248538032
95	0.3247799007
96	0.3246839676
97	0.3245877356
98	0.3244427249
99	0.3243706889
100	0.3243053441
101	0.3237899774
102	0.323656784
103	0.323469126
104	0.3234131599
105	0.3228730165
106	0.3227062456
107	0.3225092628
108	0.322140287
109	0.3220515113
110	0.3220033652
111	0.3219348251
112	0.3218338278
113	0.3217699484
114	0.3214653417
115	0.3213732592
116	0.3210275311
117	0.3209640978
118	0.3206296786
119	0.3205715102
120	0.320097782
121	0.3199896104
122	0.3193714798
123	0.3191489905
124	0.3189880248
125	0.318927046
126	0.3187632051
127	0.3183817676
128	0.3183051794
129	0.318247226
130	0.3181129872
131	0.3178213014
132	0.3176536173
133	0.3175941406
134	0.3175309062
135	0.317471029
136	0.3173445237
137	0.3172959688
138	0.3171906359
139	0.3171058921
140	0.3169959415
141	0.3168013756
142	0.3167279308
143	0.316635085
144	0.3165693449
145	0.3164364253
146	0.3163636603
147	0.3162269775
148	0.3161747991
149	0.3160939647
150	0.3160237612
151	0.3154344344
152	0.3152538271
153	0.3151333112
154	0.3150723023
155	0.3149184279
156	0.3148084501
157	0.3147616176
158	0.3147080959
159	0.3146608981
160	0.3145716356
161	0.3145186317
162	0.3144590032
163	0.3143890163
164	0.3143573359
165	0.3143075105
166	0.314258112
167	0.3140761165
168	0.3140265654
169	0.3139773796
170	0.3139246216
171	0.3136699136
172	0.3135311587
173	0.3134043598
174	0.3133316529
175	0.3132850052
176	0.3131901175
177	0.3131501588
178	0.3131011881
179	0.3130249683
180	0.3129688936
181	0.3127694819
182	0.3118416391
183	0.3117583619
184	0.3114950589
185	0.3114338706
186	0.3113590556
187	0.3113247481
188	0.3112706449
189	0.311226556
190	0.3110022283
191	0.3109131174
192	0.3108620083
193	0.3108001756
194	0.3106874135
195	0.3106233495
196	0.3105309692
197	0.3103280623
198	0.3102681504
199	0.3102012778
200	0.3101666039
201	0.3099905192
202	0.3099441761
203	0.3098949616
204	0.3097592312
205	0.3097070519
206	0.3096776348
207	0.3096366685
208	0.3095943578
209	0.3095152045
210	0.3094557268
211	0.3094172325
212	0.3093733637
213	0.3093284251
214	0.3092339664
215	0.3091876453
216	0.3091465262
217	0.3090972794
218	0.3089488215
219	0.3088887311
220	0.308814648
221	0.3087706275
222	0.3087549863
223	0.3087156997
224	0.308660557
225	0.3086000993
226	0.3085532364
227	0.3084952245
228	0.3084364169
229	0.3083985037
230	0.3083662743
231	0.3083238735
232	0.30810952
233	0.3079683214
234	0.3079311123
235	0.3078901487
236	0.3078626236
237	0.3077658435
238	0.3077294895
239	0.3076537247
240	0.3076082659
241	0.3075801909
242	0.3075271856
243	0.3072382163
244	0.3071810588
245	0.3071267445
246	0.30708312
247	0.3070278267
248	0.3069895176
249	0.3069468132
250	0.3067288135
251	0.306677338
252	0.3064946842
253	0.3064504169
254	0.306394695
255	0.306332498
256	0.3062862156
257	0.3062351968
258	0.3061989959
259	0.3061430613
260	0.3060377861
261	0.3060085821
262	0.3055021372
263	0.3054272887
264	0.3052920708
265	0.3052322533
266	0.3051571296
267	0.3051274661
268	0.3050945031
269	0.3050465711
270	0.3049866321
271	0.3049341789
272	0.3048922348
273	0.3048581414
274	0.304807001
275	0.3047720522
276	0.3047316658
277	0.3046952813
278	0.3046574963
279	0.3045478246
280	0.3045116486
281	0.3044855297
282	0.3044516197
283	0.3044248882
284	0.3043238611
285	0.3042660313
286	0.3042298913
287	0.304202183
288	0.3041269097
289	0.3036913372
290	0.3035680815
291	0.3034994096
292	0.3034394757
293	0.3030068371
294	0.3028385768
295	0.302800512
296	0.3027520599
297	0.3025666295
298	0.3025213528
299	0.3024680751
300	0.3024315981
301	0.3022980647
302	0.302245916
303	0.3021897352
304	0.3021547549
305	0.3021153475
306	0.302077772
307	0.3020055841
308	0.3019544164
309	0.3018513296
310	0.3018088659
311	0.3017668907
312	0.3017343884
313	0.3016947963
314	0.3016494289
315	0.3016185131
316	0.3015836567
317	0.3015452246
318	0.3015095413
319	0.3014705606
320	0.301424921
321	0.301384229
322	0.3013230677
323	0.3012826819
324	0.301233376
325	0.3011972662
326	0.3011603622
327	0.3011346086
328	0.3011081525
329	0.3010725629
330	0.3009717684
331	0.3007801669
332	0.3007333354
333	0.3007039803
334	0.3006482289
335	0.3006081475
336	0.3005576803
337	0.3005081004
338	0.3004747402
339	0.3003484683
340	0.3002889579
341	0.3002439586
342	0.3002168001
343	0.3000968533
344	0.3000599502
345	0.3000313258
346	0.300004259
347	0.2999183231
348	0.2998710011
349	0.2998401767
350	0.2997945984
351	0.2997794153
352	0.2997476134
353	0.2996513808
354	0.2996078177
355	0.299501445
356	0.299465183
357	0.2994346637
358	0.2993955625
359	0.2993649212
360	0.2993413056
361	0.2993207149
362	0.2992737278
363	0.2992410698
364	0.2992139422
365	0.2991858678
366	0.2991559301
367	0.2991287407
368	0.2990964503
369	0.2990845052
370	0.2990512675
371	0.2990085301
372	0.2989558323
373	0.2989033171
374	0.2988549581
375	0.2988190931
376	0.2987881154
377	0.2987487384
378	0.2987289117
379	0.2986721498
380	0.2986250133
381	0.2985831603
382	0.2985349851
383	0.2984989981
384	0.2984684504
385	0.2984446812
386	0.2983987959
387	0.2983665377
388	0.2983289614
389	0.298288849
390	0.2982699998
391	0.2982372551
392	0.2981892306
393	0.2981547107
394	0.2981207704
395	0.2980778489
396	0.2980258487
397	0.2979841183
398	0.2979307446
399	0.2978964076
400	0.2978672941
401	0.2978421218
402	0.297799569
403	0.2977709445
404	0.2977230059
405	0.2977025379
406	0.2976538728
407	0.2976188629
408	0.2975200053
409	0.2974806885
410	0.2973986918
411	0.2973550897
412	0.2972922189
413	0.297224462
414	0.2971861531
415	0.2970832322
416	0.2970485292
417	0.2970041103
418	0.2969834589
419	0.29695465
420	0.2969181436
421	0.2968902511
422	0.2968417385
423	0.2968089885
424	0.2967051208
425	0.2966607632
426	0.2966259369
427	0.2965941635
428	0.2965512108
429	0.296500069
430	0.296466648
431	0.2964134324
432	0.296366539
433	0.2963400252
434	0.2962919081
435	0.2962610564
436	0.2962400995
437	0.2961928093
438	0.2961553249
439	0.2961106613
440	0.2960592138
441	0.2960287854
442	0.2959916986
443	0.2959480469
444	0.2959195748
445	0.2959086993
446	0.2958754611
447	0.2958631193
448	0.2958434755
449	0.2958218164
450	0.2957555859
451	0.2957063704
452	0.2956692529
453	0.2956423996
454	0.2956099874
455	0.295576445
456	0.2955477592
457	0.2955201741
458	0.2955001641
459	0.2954157564
460	0.2953712154
461	0.2953362355
462	0.2952974352
463	0.295252647
464	0.295214062
465	0.2951833909
466	0.29513766
467	0.295104237
468	0.2950607655
469	0.2950307051
470	0.2950006445
471	0.2949812153
472	0.2949452897
473	0.2949016033
474	0.2948616444
475	0.2947907055
476	0.2947619278
477	0.294722061
478	0.2946948415
479	0.2946643225
480	0.2946237221
481	0.2944220668
482	0.2943757231
483	0.2943517119
484	0.2943209488
485	0.2942911019
486	0.2942543203
487	0.2942232816
488	0.2941747704
489	0.294142022
490	0.2941049951
491	0.2940669291
492	0.2940368989
493	0.2939612895
494	0.2938368002
495	0.293813491
496	0.293691416
497	0.2936644106
498	0.2935861439
499	0.2935455439
500	0.2935145057
501	0.2934002514
502	0.2933628276
503	0.2932747835
504	0.2932476555
505	0.2931842351
506	0.2931517614
507	0.2931192565
508	0.2930909359
509	0.2930569653
510	0.2930222913
511	0.292979982
512	0.2929242284
513	0.2928945041
